src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,63846,2401,6,Benign,0.2884 seconds,1.0
192.168.100.51,192.168.100.50,52183,5730,6,DoS,0.8189 seconds,0.5766666666666665,0.5766666666666665,0.03,0.3712222222222222,0.0044444444444444444,0.017666666666666667
192.168.100.51,192.168.100.50,53894,513,6,DoS,0.5628 seconds,0.558,0.558,0.016666666666666666,0.4086666666666666,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,54379,14441,6,DoS,0.5575 seconds,0.5446666666666666,0.5446666666666666,0.016666666666666666,0.422,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,54682,8080,6,Benign,0.3775 seconds,1.0
192.168.100.51,192.168.100.50,55417,705,6,Benign,0.3708 seconds,1.0
192.168.100.51,192.168.100.50,56610,1533,6,DoS,0.6866 seconds,0.5446666666666666,0.5446666666666666,0.016666666666666666,0.422,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57779,49155,6,Benign,0.4523 seconds,1.0
192.168.100.51,192.168.100.50,59796,79,6,Benign,0.4409 seconds,1.0
192.168.100.51,192.168.100.50,60413,544,6,Benign,0.3228 seconds,1.0
192.168.100.51,192.168.100.50,61015,19842,6,Benign,0.4795 seconds,1.0
192.168.100.51,192.168.100.50,61345,70,6,DoS,0.7508 seconds,0.571111111111111,0.571111111111111,0.03,0.37455555555555553,0.0044444444444444444,0.01988888888888889
192.168.100.51,192.168.100.50,63873,1107,6,Benign,0.3937 seconds,1.0
192.168.100.51,192.168.100.50,64338,5001,6,DoS,0.7910 seconds,0.5268888888888889,0.5268888888888889,0.016666666666666666,0.43977777777777777,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,64810,33899,6,DoS,0.6211 seconds,0.5324444444444444,0.5324444444444444,0.016666666666666666,0.4297777777777778,0.0044444444444444444,0.016666666666666666
192.168.100.51,192.168.100.50,49238,464,6,Benign,0.2777 seconds,1.0
192.168.100.51,192.168.100.50,49738,2041,6,Benign,0.2862 seconds,1.0
192.168.100.51,192.168.100.50,50604,4848,6,DoS,0.4809 seconds,0.5402222222222222,0.5402222222222222,0.016666666666666666,0.4264444444444444,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,50981,143,6,DoS,0.7932 seconds,0.5341111111111111,0.5341111111111111,0.023333333333333334,0.41477777777777775,0.0044444444444444444,0.023333333333333334
192.168.100.51,192.168.100.50,52029,2800,6,DoS,0.7141 seconds,0.558,0.558,0.016666666666666666,0.4086666666666666,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,52838,1002,6,Benign,0.6344 seconds,1.0
192.168.100.51,192.168.100.50,54285,38292,6,Benign,0.5007 seconds,1.0
192.168.100.50,192.168.100.51,2251,55256,6,DoS,0.5540 seconds,0.43826491277131235,0.43826491277131235,0.013,0.42183863589103765,0.0031033478893740902,0.12379310344827588
192.168.100.51,192.168.100.50,55856,3221,6,Benign,0.4311 seconds,1.0
192.168.100.51,192.168.100.50,56828,1164,6,Benign,0.3071 seconds,1.0
192.168.100.51,192.168.100.50,57738,9485,6,Benign,0.2859 seconds,1.0
192.168.100.51,192.168.100.50,58663,1839,6,Benign,0.3229 seconds,1.0
