src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.50,192.168.100.51,21,63161,6,BruteForce,0.0365 seconds,0.5993955135345459,0.3717038929462433,0.010145651176571846,0.5993955135345459,0.0041741617023944855,0.014580736868083477
192.168.100.51,192.168.100.50,63161,21,6,BruteForce,0.0272 seconds,0.7770347595214844,0.1946210414171219,0.018378200009465218,0.7770347595214844,0.003992292098701,0.005973650608211756
192.168.100.50,192.168.100.51,21,63164,6,BruteForce,0.0183 seconds,0.6054173707962036,0.36639460921287537,0.010471292771399021,0.6054173707962036,0.002667972818017006,0.015048731118440628
192.168.100.51,192.168.100.50,63164,21,6,BruteForce,0.0328 seconds,0.7943519949913025,0.17763417959213257,0.016774119809269905,0.7943519949913025,0.00364383845590055,0.007595878094434738
192.168.100.50,192.168.100.51,21,63165,6,BruteForce,0.0194 seconds,0.6054173707962036,0.36639460921287537,0.010471292771399021,0.6054173707962036,0.002667972818017006,0.015048731118440628
192.168.100.51,192.168.100.50,63165,21,6,BruteForce,0.0394 seconds,0.5428953766822815,0.16763590276241302,0.00965922512114048,0.5428953766822815,0.002290625823661685,0.2775188982486725
192.168.100.50,192.168.100.51,21,63167,6,BruteForce,0.0109 seconds,0.5993955135345459,0.3717038929462433,0.010145651176571846,0.5993955135345459,0.0041741617023944855,0.014580736868083477
192.168.100.51,192.168.100.50,63167,21,6,BruteForce,0.0228 seconds,0.777243435382843,0.1946732997894287,0.01838313415646553,0.777243435382843,0.003993364050984383,0.005706752184778452
192.168.100.50,192.168.100.51,21,63166,6,BruteForce,0.0370 seconds,0.5993955135345459,0.3717038929462433,0.010145651176571846,0.5993955135345459,0.0041741617023944855,0.014580736868083477
192.168.100.51,192.168.100.50,63166,21,6,BruteForce,0.0193 seconds,0.7943519949913025,0.17763417959213257,0.016774119809269905,0.7943519949913025,0.00364383845590055,0.007595878094434738
192.168.100.51,192.168.100.50,54112,80,6,BruteForce,0.0115 seconds,0.5683861970901489,0.1423615962266922,0.010112759657204151,0.5683861970901489,0.0029202857986092567,0.2762192487716675
