src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,51494,80,6,DoS,0.0130 seconds,0.9921889305114746,0.9921889305114746,0.0014625758631154895,0.0012576961889863014,0.0007961918599903584,0.004294555634260178
192.168.100.51,192.168.100.50,51495,80,6,DoS,0.0135 seconds,0.5602407455444336,0.5602407455444336,0.0005971075152046978,0.0029222145676612854,0.4334264397621155,0.0028134225867688656
192.168.100.51,192.168.100.50,51496,80,6,DoS,0.0080 seconds,0.9930685758590698,0.9930685758590698,0.0008736435556784272,0.0021689420100301504,0.0009648217237554491,0.0029240604490041733
192.168.100.51,192.168.100.50,51497,80,6,DoS,0.0093 seconds,0.9928989410400391,0.9928989410400391,0.0009636592585593462,0.0009777641389518976,0.000618979218415916,0.004540523514151573
192.168.100.51,192.168.100.50,51498,80,6,DoS,0.0142 seconds,0.9964773058891296,0.9964773058891296,0.0006219192873686552,0.0003441088483668864,0.001381800277158618,0.0011750012636184692
192.168.100.51,192.168.100.50,51499,80,6,DoS,0.0101 seconds,0.9962179064750671,0.9962179064750671,0.0006024101166985929,0.0005495331715792418,0.0014214750844985247,0.0012087383074685931
192.168.100.51,192.168.100.50,51500,80,6,DoS,0.0086 seconds,0.9962109327316284,0.9962109327316284,0.0007472350844182074,0.0003608402912504971,0.0014489875175058842,0.0012321327812969685
192.168.100.51,192.168.100.50,51502,80,6,DoS,0.0107 seconds,0.9976685643196106,0.9976685643196106,0.0006540620233863592,0.000421717093558982,0.0008263365598395467,0.0004293516103643924
192.168.100.51,192.168.100.50,51501,80,6,DoS,0.0145 seconds,0.9902252554893494,0.9902252554893494,0.001554211601614952,0.0009751312318257987,0.003915727138519287,0.0033297031186521053
192.168.100.51,192.168.100.50,51503,80,6,DoS,0.0098 seconds,0.9978929162025452,0.9978929162025452,0.00032440011273138225,0.00041642796713858843,0.000899077916983515,0.0004671468341257423
192.168.100.51,192.168.100.50,51505,80,6,DoS,0.0078 seconds,0.9892783761024475,0.9892783761024475,0.002237082691863179,0.001006437698379159,0.004041444044560194,0.003436603117734194
192.168.100.51,192.168.100.50,51504,80,6,DoS,0.0095 seconds,0.9891391396522522,0.9891391396522522,0.001452011289075017,0.0009740616660565138,0.003911432344466448,0.004523329436779022
192.168.100.50,192.168.100.51,80,51505,6,DoS,0.0096 seconds,0.999839186668396,0.999839186668396,2.545125607866794e-05,8.636166603537276e-05,7.265737167472253e-06,4.161308970651589e-05
192.168.100.51,192.168.100.50,51507,80,6,DoS,0.0101 seconds,0.9970124959945679,0.9970124959945679,0.0004856805899180472,0.0005313432775437832,0.0013744232710450888,0.0005960582639090717
192.168.100.51,192.168.100.50,51506,80,6,DoS,0.0081 seconds,0.990324854850769,0.990324854850769,0.0014537519309669733,0.0009752293117344379,0.0039161210879683495,0.0033300379291176796
192.168.100.51,192.168.100.50,51508,80,6,DoS,0.0096 seconds,0.9964773058891296,0.9964773058891296,0.0006219192873686552,0.0003441088483668864,0.001381800277158618,0.0011750012636184692
192.168.100.51,192.168.100.50,51509,80,6,DoS,0.0086 seconds,0.9978929162025452,0.9978929162025452,0.00032440011273138225,0.00041642796713858843,0.000899077916983515,0.0004671468341257423
192.168.100.51,192.168.100.50,51510,80,6,DoS,0.0131 seconds,0.9963609576225281,0.9963609576225281,0.0006424256134778261,0.0003554547147359699,0.0014273612760007381,0.0012137431185692549
192.168.100.51,192.168.100.50,51511,80,6,DoS,0.0102 seconds,0.9963066577911377,0.9963066577911377,0.000634451920632273,0.00037281750701367855,0.0014129533665254712,0.0012730302987620234
192.168.100.51,192.168.100.50,51512,80,6,DoS,0.0082 seconds,0.9953908920288086,0.9953908920288086,0.0007713281083852053,0.00037247483851388097,0.0021934150718152523,0.001271860208362341
192.168.100.51,192.168.100.50,51513,80,6,DoS,0.0100 seconds,0.9955577254295349,0.9955577254295349,0.0006020109285600483,0.0005491689662449062,0.002083174418658018,0.0012079373700544238
192.168.100.51,192.168.100.50,51515,80,6,DoS,0.0094 seconds,0.9955276846885681,0.9955276846885681,0.0006339558749459684,0.00037252603215165436,0.002193716587498784,0.001272035064175725
192.168.100.51,192.168.100.50,51514,80,6,DoS,0.0107 seconds,0.9872387051582336,0.9872387051582336,0.0015495241386815906,0.0009721902315504849,0.005724992603063583,0.004514639265835285
192.168.100.51,192.168.100.50,51516,80,6,DoS,0.0101 seconds,0.995752215385437,0.995752215385437,0.0006021285080350935,0.00035382359055802226,0.002083581406623125,0.001208173343911767
192.168.100.51,192.168.100.50,51517,80,6,DoS,0.0085 seconds,0.9972841739654541,0.9972841739654541,0.0006538100424222648,0.00042155460687354207,0.0012113333214074373,0.00042918615508824587
192.168.100.51,192.168.100.50,51519,80,6,DoS,0.0098 seconds,0.9955379962921143,0.9955379962921143,0.0007467303075827658,0.00036059654667042196,0.002123466692864895,0.0012313004117459059
192.168.100.51,192.168.100.50,51518,80,6,DoS,0.0084 seconds,0.9885191321372986,0.9885191321372986,0.0014511012705042958,0.0009734511259011924,0.005732417572289705,0.003323966171592474
192.168.100.51,192.168.100.50,51520,80,6,DoS,0.0099 seconds,0.9955379962921143,0.9955379962921143,0.0007467303075827658,0.00036059654667042196,0.002123466692864895,0.0012313004117459059
192.168.100.51,192.168.100.50,51522,80,6,DoS,0.0081 seconds,0.9976685643196106,0.9976685643196106,0.0006540620233863592,0.000421717093558982,0.0008263365598395467,0.0004293516103643924
192.168.100.51,192.168.100.50,51521,80,6,DoS,0.0110 seconds,0.9957842230796814,0.9957842230796814,0.0007442515343427658,0.0004117950738873333,0.0016536012990400195,0.001406123978085816
192.168.100.51,192.168.100.50,51524,80,6,DoS,0.0085 seconds,0.9976685643196106,0.9976685643196106,0.0006540620233863592,0.000421717093558982,0.0008263365598395467,0.0004293516103643924
192.168.100.50,192.168.100.51,80,51525,6,DoS,0.0095 seconds,0.9994617104530334,0.9994617104530334,2.9794435249641538e-05,0.00018299058137927204,0.0002321740030311048,9.325917926616967e-05
192.168.100.51,192.168.100.50,51528,80,6,DoS,0.0108 seconds,0.9992052912712097,0.9992052912712097,0.00026070259627886117,0.00022304010053630918,5.865755883860402e-05,0.00025240660761483014
192.168.100.50,192.168.100.51,80,51531,6,DoS,0.0083 seconds,0.9972264170646667,0.9972264170646667,9.939885785570368e-05,0.0008502493146806955,0.0013338294811546803,0.0004901378997601569
