src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.50,192.168.100.51,21,63036,6,DoS,0.5709 seconds,0.609388888888889,0.609388888888889,0.10316666666666667,0.2107777777777778,0.0,0.07666666666666666
192.168.100.51,192.168.100.50,63036,21,6,DoS,0.4721 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63039,6,DoS,0.4018 seconds,0.5658888888888889,0.5658888888888889,0.03177777777777778,0.16566666666666668,0.0,0.23666666666666666
192.168.100.51,192.168.100.50,63039,21,6,DoS,0.4175 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63040,6,DoS,0.4548 seconds,0.6227222222222223,0.6227222222222223,0.0965,0.20411111111111113,0.0,0.07666666666666666
192.168.100.51,192.168.100.50,63040,21,6,DoS,0.4331 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63041,6,DoS,0.4508 seconds,0.4322222222222223,0.4322222222222223,0.044444444444444446,0.24317460317460315,0.02766666666666667,0.2524920634920635
192.168.100.51,192.168.100.50,63041,21,6,DoS,0.4376 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,63041,21,6,DoS,0.4934 seconds,0.5945238095238096,0.5945238095238096,0.02666666666666667,0.3721428571428571,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63043,6,BruteForce,0.4081 seconds,0.40428571428571425,0.33,0.027777777777777773,0.40428571428571425,0.021555555555555557,0.21638095238095237
192.168.100.51,192.168.100.50,63043,21,6,DoS,0.4719 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63042,6,BruteForce,0.4202 seconds,0.40428571428571425,0.33,0.027777777777777773,0.40428571428571425,0.021555555555555557,0.21638095238095237
192.168.100.51,192.168.100.50,63042,21,6,DoS,0.4639 seconds,0.6030793650793651,0.6030793650793651,0.02666666666666667,0.36358730158730157,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63045,6,DoS,0.8618 seconds,0.3877777777777778,0.3877777777777778,0.032777777777777774,0.32650793650793647,0.02988888888888889,0.22304761904761905
192.168.100.51,192.168.100.50,63045,21,6,DoS,1.3180 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,63047,21,6,BruteForce,1.8253 seconds,0.38095238095238093,0.3233333333333333,0.02666666666666667,0.38095238095238093,0.04488888888888889,0.22415873015873017
192.168.100.51,192.168.100.50,63047,21,6,DoS,1.3703 seconds,0.6068888888888889,0.6068888888888889,0.02666666666666667,0.3597777777777778,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,63047,21,6,DoS,0.8894 seconds,0.5835555555555555,0.5835555555555555,0.02666666666666667,0.38311111111111107,0.0,0.006666666666666667
192.168.100.50,192.168.100.51,21,63046,6,DoS,0.8234 seconds,0.3688888888888889,0.3688888888888889,0.03277777777777778,0.34539682539682537,0.02988888888888889,0.22304761904761905
192.168.100.51,192.168.100.50,63046,21,6,DoS,0.9745 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,63044,21,6,BruteForce,0.5839 seconds,0.5031746031746032,0.22333333333333333,0.02,0.5031746031746032,0.03333333333333333,0.22015873015873016
192.168.100.51,192.168.100.50,63044,21,6,DoS,0.5128 seconds,0.613,0.613,0.02666666666666667,0.35366666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,63051,21,6,BruteForce,0.6622 seconds,0.5148412698412699,0.215,0.02666666666666667,0.5148412698412699,0.03,0.2134920634920635
