src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,56868,80,6,DoS,0.0122 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,56867,80,6,DoS,0.0129 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,56866,80,6,DoS,0.0123 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,58557,80,6,DoS,0.0085 seconds,0.7449324131011963,0.7449324131011963,0.006239175330847502,0.2473788559436798,0.00025146635016426444,0.0011980513809248805
192.168.100.51,192.168.100.50,57317,80,6,BruteForce,0.0084 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.0002331605355720967
192.168.100.51,192.168.100.50,58470,80,6,DoS,0.0079 seconds,0.6434568166732788,0.6434568166732788,0.009570828638970852,0.3447902500629425,0.00034429130028001964,0.0018377978121861815
192.168.100.51,192.168.100.50,58469,80,6,DoS,0.0126 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,59273,80,6,DoS,0.0097 seconds,0.7449324131011963,0.7449324131011963,0.006239175330847502,0.2473788559436798,0.00025146635016426444,0.0011980513809248805
192.168.100.51,192.168.100.50,58816,80,6,DoS,0.0081 seconds,0.6434568166732788,0.6434568166732788,0.009570828638970852,0.3447902500629425,0.00034429130028001964,0.0018377978121861815
192.168.100.51,192.168.100.50,58341,80,6,DoS,0.0113 seconds,0.6671993732452393,0.6671993732452393,0.008931676857173443,0.32176482677459717,0.0003891121014021337,0.0017150675412267447
192.168.100.51,192.168.100.50,57445,80,6,DoS,0.0150 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,59272,80,6,DoS,0.0082 seconds,0.6434568166732788,0.6434568166732788,0.009570828638970852,0.3447902500629425,0.00034429130028001964,0.0018377978121861815
192.168.100.51,192.168.100.50,56879,80,6,DoS,0.0121 seconds,0.6671993732452393,0.6671993732452393,0.008931676857173443,0.32176482677459717,0.0003891121014021337,0.0017150675412267447
192.168.100.51,192.168.100.50,59194,80,6,BruteForce,0.0113 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.0002331605355720967
192.168.100.51,192.168.100.50,58989,80,6,BruteForce,0.0131 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.0002331605355720967
192.168.100.51,192.168.100.50,57262,80,6,BruteForce,0.0157 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.0002331605355720967
192.168.100.51,192.168.100.50,57261,80,6,BruteForce,0.0197 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.0002331605355720967
192.168.100.51,192.168.100.50,58916,80,6,DoS,0.0086 seconds,0.6434568166732788,0.6434568166732788,0.009570828638970852,0.3447902500629425,0.00034429130028001964,0.0018377978121861815
192.168.100.51,192.168.100.50,58915,80,6,DoS,0.0155 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,58525,80,6,DoS,0.0078 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,59269,80,6,DoS,0.0082 seconds,0.8312766551971436,0.8312766551971436,0.005789050832390785,0.16162480413913727,0.00019782989693339914,0.00111161801032722
192.168.100.51,192.168.100.50,59309,80,6,DoS,0.0105 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,59215,80,6,DoS,0.0080 seconds,0.6671993732452393,0.6671993732452393,0.008931676857173443,0.32176482677459717,0.0003891121014021337,0.0017150675412267447
192.168.100.51,192.168.100.50,59271,80,6,DoS,0.0143 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,58912,80,6,DoS,0.0135 seconds,0.7449324131011963,0.7449324131011963,0.006239175330847502,0.2473788559436798,0.00025146635016426444,0.0011980513809248805
192.168.100.51,192.168.100.50,58521,80,6,DoS,0.0136 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,56874,80,6,DoS,0.0114 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,56865,80,6,DoS,0.0123 seconds,0.6434568166732788,0.6434568166732788,0.009570828638970852,0.3447902500629425,0.00034429130028001964,0.0018377978121861815
192.168.100.51,192.168.100.50,59308,80,6,DoS,0.0080 seconds,0.6671993732452393,0.6671993732452393,0.008931676857173443,0.32176482677459717,0.0003891121014021337,0.0017150675412267447
192.168.100.51,192.168.100.50,59134,80,6,DoS,0.0136 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,59267,80,6,DoS,0.0092 seconds,0.8312766551971436,0.8312766551971436,0.005789050832390785,0.16162480413913727,0.00019782989693339914,0.00111161801032722
192.168.100.51,192.168.100.50,59263,80,6,DoS,0.0114 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
192.168.100.51,192.168.100.50,56873,80,6,DoS,0.0103 seconds,0.6424517631530762,0.6424517631530762,0.007567874621599913,0.34780168533325195,0.00034375354880467057,0.0018349273595958948
