src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time
192.168.100.12,192.168.100.1,47521,53,17,Benign,0.052290415987954475
192.168.100.12,192.168.100.1,54334,53,17,Benign,0.040578849002486095
192.168.100.12,140.82.112.22,41362,443,6,Benign,0.04379481601063162
104.208.16.88,192.168.100.12,443,57020,6,Benign,0.04384534699784126
192.168.100.12,192.168.100.1,34879,53,17,Benign,0.045067394006764516
104.208.16.88,192.168.100.12,443,48740,6,Benign,0.04650133899122011
91.108.56.193,192.168.100.12,443,48130,6,Benign,0.04409728500468191
192.168.100.12,91.108.56.193,40532,443,6,Benign,0.0354446179990191
192.168.100.12,91.108.56.193,40528,443,6,Benign,0.0344072320003761
192.168.100.12,192.168.100.1,50575,53,17,Benign,0.037466181005584076
192.168.100.12,192.168.100.1,48970,53,17,Benign,0.03766877099405974
192.168.100.12,192.168.100.1,58974,53,17,Benign,0.036955527000827715
104.208.16.88,192.168.100.12,443,48756,6,Benign,0.04010115000710357
192.168.100.12,192.168.100.1,33036,53,17,Benign,0.03489737899508327
192.168.100.12,192.168.100.1,40783,53,17,Benign,0.040131544999894686
192.168.100.12,192.168.100.1,56415,53,17,Benign,0.04366270099126268
192.168.100.12,192.168.100.1,53072,53,17,Benign,0.04038971800764557
192.168.100.12,192.168.100.1,47961,53,17,Benign,0.04030839100596495
20.42.72.131,192.168.100.12,443,56426,6,Benign,0.03453864000039175
192.168.100.12,192.168.100.1,56229,53,17,Benign,0.043509565002750605
192.168.100.12,192.168.100.1,58575,53,17,Benign,0.03352211399760563
20.189.173.1,192.168.100.12,443,52938,6,Benign,0.03754232500796206
192.168.100.12,192.168.100.1,36439,53,17,Benign,0.03901595500065014
20.189.173.1,192.168.100.12,443,52948,6,Benign,0.03863640000054147
192.168.100.12,192.168.100.1,52559,53,17,Benign,0.03927634299907368
192.168.100.12,192.168.100.1,51583,53,17,Benign,0.045909029999165796
20.189.173.1,192.168.100.12,443,52964,6,Benign,0.04517103800026234
192.168.100.12,192.168.100.1,33049,53,17,Benign,0.04780102099175565
20.189.173.1,192.168.100.12,443,52976,6,Benign,0.051335033000214025
192.168.100.12,192.168.100.1,49074,53,17,Benign,0.0437911199987866
192.168.100.12,192.168.100.1,43183,53,17,Benign,0.0442254369991133
192.168.100.12,192.168.100.1,48510,53,17,Benign,0.03987863000656944
20.189.173.1,192.168.100.12,443,35656,6,Benign,0.03837321100581903
192.168.100.12,192.168.100.1,50449,53,17,Benign,0.042566391988657415
20.189.173.1,192.168.100.12,443,35672,6,Benign,0.036277481995057315
192.168.100.12,192.168.100.1,51272,53,17,Benign,0.037568162006209604
192.168.100.12,192.168.100.1,56410,53,17,Benign,0.03646806000324432
192.168.100.12,192.168.100.1,60658,53,17,Benign,0.03591054600838106
20.189.173.1,192.168.100.12,443,60800,6,Benign,0.03797447599936277
